user_id, o, c, e, a, n, cpb-i, cpb-o, dis_ocean, dis_os, email_ratio, cnt_send, cnt_s_size, cnt_s_attach, cnt_s_days
CEL0561,40.0,39.0,36.0,19.0,40.0,-7.81,-20.47,530.278311442,404.0,166.0,5034101.0,97.0,127.0,
JFC0557,22.0,16.0,23.0,40.0,33.0,-12.69,-16.19,657.825662035,432.0,237.0,7287966.0,225.0,151.0,
ASD0577,40.0,48.0,36.0,14.0,37.0,-7.82,-23.79,222.68700248,188.0,23.0,634662.0,0.0,23.0,
MAR0955,36.0,44.0,23.0,44.0,25.0,-25.01,-37.41,196.026702982,152.0,26.0,767719.0,0.0,25.0,
GRM0868,21.0,25.0,20.0,13.0,28.0,-4.17,-10.82,765.517188568,514.0,208.0,6148756.0,0.0,119.0,
AAL0706,37.0,14.0,28.0,13.0,25.0,-5.93,-12.35,140.369190981,108.0,17.0,561035.0,8.0,17.0,
RVC0232,34.0,20.0,47.0,38.0,25.0,-11.99,-26.77,627.089770149,446.0,432.0,12967632.0,279.0,201.0,
TCD0009,44.0,28.0,44.0,38.0,23.0,-17.5,-33.37,720.086815237,450.0,28.0,743784.0,19.0,28.0,
ASM0575,42.0,25.0,21.0,45.0,30.0,-23.5,-28.37,125.238229589,106.0,25.0,743974.0,37.0,23.0,
JLM0364,35.0,22.0,15.0,25.0,37.0,-12.14,-13.09,893.796614868,592.0,511.0,15218452.0,164.0,229.0,
FOB0756,42.0,41.0,34.0,20.0,27.0,-12.78,-28.13,253.749880053,182.0,39.0,1245640.0,44.0,39.0,
GCG0951,33.0,33.0,25.0,19.0,44.0,-6.54,-12.88,198.737220132,168.0,39.0,1140637.0,26.0,34.0,
AAV0450,44.0,24.0,36.0,41.0,33.0,-17.75,-27.18,185.411589292,150.0,18.0,501713.0,17.0,17.0,
CJV0286,18.0,14.0,17.0,13.0,26.0,-2.74,-5.81,447.116902953,262.0,92.0,2951212.0,92.0,74.0,
TDG0962,42.0,40.0,36.0,26.0,21.0,-16.14,-33.21,205.524817969,212.0,33.0,1006526.0,37.0,31.0,
SVL0803,27.0,35.0,20.0,36.0,32.0,-16.5,-24.27,612.419117576,466.0,174.0,5290810.0,63.0,138.0,
MDM0625,18.0,42.0,36.0,27.0,24.0,-8.97,-27.09,1225.6614856,882.0,241.0,7220170.0,70.0,135.0,
GMF0738,30.0,40.0,45.0,20.0,18.0,-8.43,-30.24,954.222137053,662.0,395.0,12243289.0,0.0,185.0,
BER0314,23.0,20.0,18.0,19.0,32.0,-6.09,-9.46,1058.30753589,686.0,297.0,8917518.0,56.0,171.0,
AMR0400,19.0,16.0,47.0,28.0,28.0,-1.83,-15.75,631.905103434,368.0,21.0,633484.0,0.0,21.0,
YCE0983,39.0,21.0,42.0,30.0,36.0,-8.82,-19.41,478.434631565,346.0,249.0,7682735.0,293.0,156.0,
BJW0619,30.0,43.0,47.0,21.0,39.0,-3.8,-22.34,1125.35119397,686.0,187.0,5583765.0,68.0,119.0,
TYB0779,24.0,20.0,35.0,36.0,34.0,-8.97,-17.78,477.276458084,354.0,35.0,991636.0,45.0,35.0,
KBL0260,16.0,15.0,48.0,16.0,32.0,5.6,-7.88,558.51350663,328.0,128.0,3812435.0,0.0,91.0,
FMG0527,43.0,38.0,35.0,38.0,28.0,-19.85,-34.09,411.345689634,342.0,75.0,2198371.0,78.0,61.0,
HCL0651,21.0,19.0,44.0,36.0,33.0,-5.9,-18.14,334.75506097,244.0,69.0,2123583.0,78.0,64.0,
